"","Canopy Class","Canopy Height","Max Height","Bare","Wrack/Thatch","Treatment","Material","Soil Depth","Date","TransectCode","QuadratID","Scientific Name","Common Name","Code","Status","Grass/Forb","Annual/Perennial","Presence","HeightClass"
"8657","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-22,"AS08","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"8669","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-22,"AS08","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"8689","M","2",NA,"C","R","Straw","Hybrid","3",2017-06-22,"AS08","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"8726","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"AS08","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"8865","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"8879","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"8925","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T1","Tetragonia tetragonioides","New Zealand spinach","TETE","Weed","Forb","A","U","1"
"8936","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"8970","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"8979","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T2","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"8984","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","U","1"
"9004","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","T2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"9041","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","U","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"9075","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","U","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"9089","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","U","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"9109","M","1",NA,"C","R","Rake","Organic","2",2017-06-22,"AS09","U","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","C","1"
"9146","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","Q1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"9180","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","Q1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"9182","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","Q1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"9189","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","Q1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"9251","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","T1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"9350","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","T2","Amsinckia intermedia","fiddleneck","AMIN","Native","Forb","A","R","1"
"9390","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","T2","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","R","1"
"9392","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","T2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"9404","L","1",NA,"C","R","Straw","Hybrid","3",2017-06-22,"CC1","T2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","U","1"
"9461","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET1","Q1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"9566","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET1","Q2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","R","1"
"9671","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET2","Q1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"9857","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET2","Q2","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","R","1"
"9986","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET3","Q2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"9987","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET3","Q2","Atriplex semibaccata","Australian saltbush","ATSE","Weed","Forb","P","C","1"
"10025","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET3","Q2","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"10029","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET3","Q2","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"10042","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET3","Q2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"10074","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET3","Q2","Spergularia marina","salt marsh sand spurry","SPMA","Native","Forb","A","R","1"
"10091","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"10134","L","1",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"10196","M","2",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"10235","M","2",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q2","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"10239","M","2",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q2","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"10252","M","2",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"10264","M","2",NA,"C","R","Hydro","Compost","3",2017-06-22,"ET4","Q2","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","U","1"
"10317","S","1",NA,"C","R","Hydro","Organic","3",2017-06-22,"FS1A","Q1","Centromadia pungens","common spikeweed","CEPU","Native","Forb","A","R","1"
"10345","S","1",NA,"C","R","Hydro","Organic","3",2017-06-22,"FS1A","Q1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"10357","S","1",NA,"C","R","Hydro","Organic","3",2017-06-22,"FS1A","Q1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"10474","S","1",NA,"C","R","Hydro","Organic","3",2017-06-22,"FS1B","Q1","Mesembryanthemum nodiflorum","slenderleaf iceplant","MENO","Weed","Forb","A","R","1"
"10511","L","1",NA,"C","R","Hydro","Hybrid","2",2017-06-22,"FS2A","Q1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"10527","L","1",NA,"C","R","Hydro","Hybrid","2",2017-06-22,"FS2A","Q1","Centromadia pungens","common spikeweed","CEPU","Native","Forb","A","R","2"
"10545","L","1",NA,"C","R","Hydro","Hybrid","2",2017-06-22,"FS2A","Q1","Eschscholzia californica","California poppy","ESCA","Native","Forb","A/P","U","1"
"10555","L","1",NA,"C","R","Hydro","Hybrid","2",2017-06-22,"FS2A","Q1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"10609","S","1",NA,"C","R","Hydro","Hybrid","2",2017-06-22,"FS2B","Q1","Ambrosia psilostachya","western ragweed","AMPS","Native","Forb","P","R","1"
"10652","S","1",NA,"C","R","Hydro","Hybrid","2",2017-06-22,"FS2B","Q1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"10719","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q1","Artemisia douglasiana","mugwort","ARDO","Native","Forb","P","R","1"
"10721","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q1","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"10757","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"10765","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q1","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"10769","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"10777","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q1","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","U","1"
"10826","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"10842","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q2","Centromadia pungens","common spikeweed","CEPU","Native","Forb","A","R","1"
"10870","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q2","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"10874","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q2","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"10882","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","U","1"
"10931","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","U","1"
"10967","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"10970","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"10975","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"10979","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"10987","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","U","1"
"11019","L","1",NA,"C","R","Hydro","Organic","2",2017-06-22,"RS1","Q3","Spergularia marina","salt marsh sand spurry","SPMA","Native","Forb","A","R","1"
"11072","S","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q1","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"11079","S","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q1","Grasses",NA,"GRASS",NA,"Grass","A/P","R","1"
"11084","S","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q1","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"11141","M","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q2","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","1"
"11177","M","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q2","Festuca microstachys","annual fescue","FEMI","Native","Grass","A","R","1"
"11185","M","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q2","Grindelia stricta","salt marsh gumplant","GRST","Native","Forb","P","R","1"
"11197","M","1",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q2","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"11246","M","3",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q3","Atriplex prostrata","fat hen","ATPR","Weed","Forb","A","C","2"
"11285","M","3",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q3","Frankenia salina","alkali heath","FRSA","Native","Forb","P","R","1"
"11289","M","3",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q3","Grasses",NA,"GRASS",NA,"Grass","A/P","R","2"
"11294","M","3",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q3","Hordeum depressum","alkali brome","HODE","Native","Grass","A","R","1"
"11302","M","3",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q3","Lasthenia glabrata","yellowray goldfields","LAGL","Native","Forb","A","R","1"
"11327","M","3",NA,"C","R","Hydro","Hybrid","3",2017-06-22,"RS2","Q3","Salicornia pacifica","perennial pickleweed","SAPA","Native","Forb","P","R","1"
